otuz bircimiz	otuz birciNNOMSGPSS1P
klavyelerinden	klavyeNABLSGPSS3P
esrarengiz	esrarengizADJLGSPEC1PRS3SGPOSDECL
sözleşmesini	sözleşmeNACCSGPSS3S
vücutta	vücutNLOCSG
abartıyor mu?	abartmakVIND3SGPRSPROGPOSINTR
karıştırıyor muydu?	karıştırmakVIND3SGPSTPROGPOSINTR
köpek	köpekNNOMSG
kaçaklarının	kaçakNGENPLPSS2S
maaşa	maaşNDATSG
kovulmadın	kovulmakVIND2SGPSTNEGDECL
adamımıza	adamNDATSGPSS1P
mayoda	mayoNLOCSG
vaziyetlerini	vaziyetNACCSGPSS3P
yardımında	yardımNLOCSGPSS2S
borç	borçNNOMSG
otoymuşsun	otoNLGSPEC12SSGLGSPEC2
aptallıkta	aptallıkNLOCSG
büyülüymüşsün	büyülüADJLGSPEC1LGSPEC22SGPOSDECL
kavramlarından	kavramNABLPLPSS3P
çalışma alanlarına	çalışma alanıNDATPL
tek sayılarının	tek sayıNGENPLPSS3P
kâselerini	kâseNACCPLPSS2S
çıktılardan	çıktıNABLPL
rujları	rujNNOMPLPSS3S
anımızı	anNACCSGPSS1P
asmadın mı?	asmakVIND2SGPSTNEGINTR
keçiydin	keçiNLGSPEC12SSGPST
şimşek	şimşekNNOMSG
bulgurların	bulgurNGENPL
tıraş olacaksın	tıraş olmakVIND2SGFUTPOSDECL
içeceğimizin	içecekNGENSGPSS1P
canlandırması	canlandırmaNNOMSGPSS3S
sürülerine	sürüNDATSGPSS3P
sun'î tahtaların	sun'î tahtaNGENPL
kefaletlerin	kefaletNGENPL
külfetleri	külfetNNOMPLPSS3S
pehlivanlarmış	pehlivanNLGSPEC13PPLLGSPEC2
destanlarımızı	destanNACCPLPSS1P
aseksüeldim	aseksüelNLGSPEC11SSGPST
yedeksiniz	yedekNLGSPEC12PSGPRS
göller	gölNNOMPL
değiştirecek	değiştirmekVIND3SGFUTPOSDECL
içermem	içermekVIND1SGPRSNEGDECL
bileşiklerinden	bileşikNABLPLPSS3S
pişman olmayacaksın	pişman olmakVIND2SGFUTNEGDECL
aşık oluyor muyduk?	aşık olmakVIND1PLPSTPROGPOSINTR
Yahudilerimi	YahudiNACCPLPSS1S
pelikanımızın	pelikanNGENSGPSS1P
öldürtülüyorsun	öldürtülmemekVIND2SGPRSPROGPOSDECL
çıkarmayacak mısınız?	çıkarmakVIND2PLFUTNEGINTR
kimyasal tepkimenin	kimyasal tepkimeNGENSGPSS2S
arttınız mı?	artmakVIND2PLPSTPOSINTR
terapistmişiz	terapistNLGSPEC11PSGLGSPEC2
anonim şirketi	anonim şirketiNNOMSG
terörizmin	terörizmNGENSG
tıraş olmayacak mıyım?	tıraş olmakVIND1SGFUTNEGINTR
takıyorlar mı?	takmakVIND3PLPRSPROGPOSINTR
karanlık maddelere	karanlık maddeNDATPL
kanıtlamam	kanıtlamakVIND1SGPRSNEGDECL
sakalına	sakalNDATSGPSS3S
haberleşti	haberleşmekVIND3SGPSTPOSDECL
bluzsuzuma	bluzsuzNDATSGPSS1S
cezalandırmazsınız	cezalandırmakVIND2PLPRSNEGDECL
pozitif sayıları	pozitif sayıNACCPL
çatmıyor muydum?	çatmakVIND1SGPSTPROGNEGINTR
mustatillerini	mustatilNACCPLPSS2S
polenlerini	polenNACCPLPSS3P
kalplerine	kalpNDATPLPSS3S
frekansları	frekansNNOMSGPSS3P
diriyor muydun?	diremekVIND2SGPSTPROGPOSINTR
yatılı okullarımda	yatılı okulNLOCPLPSS1S
cemaatlerinden	cemaatNABLSGPSS3P
evcikkıranlarına	evcikkıranNDATPLPSS3P
bölmezler	bölmekVIND3PLPRSNEGDECL
bastonlarını	bastonNACCPLPSS3S
fahişesiniz	fahişeNLGSPEC12PSGPRS
dindarlıklarınız	dindarlıkNNOMPLPSS2P
önerimize	öneriNDATSGPSS1P
radyolarının	radyoNGENSGPSS3P
derileriniz	deriNNOMPLPSS2P
marullarında	marulNLOCSGPSS3P
pilavlarımıza	pilavNDATPLPSS1P
külotlu çorabı	külotlu çorapNACCSG
yapmasının	yapmaNGENSGPSS3S
yollara	yolNDATPL
karıymışım	karıNLGSPEC11SSGLGSPEC2
vaziyetlerinin	vaziyetNGENPLPSS3S
diferansiyel denklemlerinin	diferansiyel denklemNGENPLPSS2S
kovmadınız	kovmakVIND2PLPSTNEGDECL
kebaplarını	kebapNACCPLPSS3S
olumsuzluktan	olumsuzlukNABLSG
dürtüyor muydum?	dürtmekVIND1SGPSTPROGPOSINTR
gitarlarımızdan	gitarNABLPLPSS1P
polenlerdim	polenNLGSPEC11SPLPST
kardı	karNLGSPEC13SSGPST
ilişkilerimde	ilişkiNLOCPLPSS1S
doğurmayacak mıyım?	doğurmakVIND1SGFUTNEGINTR
abartacak	abartmakVIND3SGFUTPOSDECL
kelimeler	kelimeNNOMPL
çalışmıyor muyum?	çalışmakVIND1SGPRSPROGNEGINTR
valideler	valideNNOMPL
güdüminizden	güdümNABLSGPSS2P
öldürtmüyorum	öldürtmekVIND1SGPRSPROGNEGDECL
filleri	filNNOMPLPSS3S
ön eklerimiz	ön ekNNOMPLPSS1P
vişnelermişiz	vişneNLGSPEC11PPLLGSPEC2
ağaçkakanlarımızı	ağaçkakanNACCPLPSS1P
solur mu?	solumakVIND3SGPRSPOSINTR
cepleri	cepNNOMSGPSS3P
mayalarının	mayaNGENSGPSS3P
kontakt lensimizde	kontakt lensNLOCSGPSS1P
özel okullarında	özel okulNLOCPLPSS3S
ağaç çivilerimi	ağaç çiviNACCPLPSS1S
kataloglarının	katalogNGENPLPSS3S
mandalları	mandalNACCPL
müstahdemlerine	müstahdemNDATSGPSS3P
sumaklarında	sumakNLOCPLPSS3S
gemilerimizi	gemiNACCPLPSS1P
ikazlardım	ikazNLGSPEC11SPLPST
börülceler	börülceNLGSPEC13PSGPRS
acılarmış	acıNLGSPEC13PPLLGSPEC2
balinaydı	balinaNLGSPEC13SSGPST
sıradandık	sıradanADJLGSPEC1PST1PLPOSDECL
uzaktan kumandalara	uzaktan kumandaNDATPL
işlemedin mi?	işlemekVIND2SGPSTNEGINTR
tarıyorsun	taramakVIND2SGPRSPROGPOSDECL
savaşçımdan	savaşçıNABLSGPSS1S
okumadık	okumakVIND1PLPSTNEGDECL
pisletmiyoruz	pisletmekVIND1PLPRSPROGNEGDECL
kasbilimin	kasbilimNGENSG
şimaline	şimalNDATSGPSS3S
mananız	manaNNOMSGPSS2P
tornavidamızda	tornavidaNLOCSGPSS1P
kışkırtıyor muyuz?	kışkırtmakVIND1PLPRSPROGPOSINTR
bekleyeceksin	beklemekVIND2SGFUTPOSDECL
önemine	önemNDATSGPSS2S
beneklerinden	benekNABLPLPSS3S
papa	papaNLGSPEC13SSGPRS
sinagogunu	sinagogNACCSGPSS3S
alyanında	alyanNLOCSGPSS2S
avokadolarının	avokadoNGENPLPSS3S
milyonersiniz	milyonerNLGSPEC12PSGPRS
maymunlardı	maymunNLGSPEC13SPLPST
makinalarınızda	makinaNLOCPLPSS2P
paşalarmışsın	paşaNLGSPEC12SPLLGSPEC2
mutfaklarımda	mutfakNLOCPLPSS1S
misketlerdin	misketNLGSPEC12SPLPST
pişmiyorsun	pişmekVIND2SGPRSPROGNEGDECL
votkalarınızdan	votkaNABLPLPSS2P
tabansızları	tabansızNNOMSGPSS3P
yastıklarımızın	yastıkNGENPLPSS1P
ittirmiyordun	ittirmekVIND2SGPSTPROGNEGDECL
sunucuyuz	sunucuNLGSPEC11PSGPRS
başlangıcına	başlangıçNDATSGPSS2S
karnelerini	karneNACCPLPSS3S
peynirli pastasını	peynirli pastaNACCSGPSS3S
sert diskinin	sert diskNGENSGPSS2S
saksocusunda	saksocuNLOCSGPSS3S
elipslerinize	elipsNDATPLPSS2P
sagalara	sagaNDATPL
götverendik	götverenNLGSPEC11PSGPST
ayılmaz mısınız?	ayılmakVIND2PLPRSNEGINTR
heyecanlandırtırsınız	heyecanlandırtmakVIND2PLPRSPOSDECL
duymamanın	duymamaNGENSGPSS2S
cimcimeye	cimcimeNDATSG
yanardağımdan	yanardağNABLSGPSS1S
yoldurmuyorlar mı?	yoldurmakVIND3PLPRSPROGNEGINTR
dehşetinde	dehşetNLOCSGPSS2S
gerekecek misin?	gerekmekVIND2SGFUTPOSINTR
aşurelerinden	aşureNABLPLPSS2S
zibillersin	zibilNLGSPEC12SPLPRS
çilimizi	çilNACCSGPSS1P
dövmüyor muyuz?	dövmekVIND1PLPRSPROGNEGINTR
duyularında	duyuNLOCPLPSS3P
iyileştirdin	iyileştirmekVIND2SGPSTPOSDECL
yastığınızdan	yastıkNABLSGPSS2P
keşfetecek	keşfetmekVIND3SGFUTPOSDECL
süzgeçlerinin	süzgeçNGENPLPSS3P
içli köftelerinizden	içli köfteNABLPLPSS2P
dükkândan	dükkânNABLSG
insan-ı kâmillerini	insan-ı kâmilNACCPLPSS2S
vurgularınızda	vurguNLOCPLPSS2P
buzukimize	buzukiNDATSGPSS1P
tepkimesinde	tepkimeNLOCSGPSS3S
heteroseksüelleri	heteroseksüelNNOMPLPSS3P
mutfağınızdan	mutfakNABLSGPSS2P
korkuluklarını	korkulukNACCSGPSS3P
tariflerimiz	tarifNNOMPLPSS1P
vekil sunucuydum	vekil sunucuNLGSPEC11SSGPST
kanmazsınız	kanmakVIND2PLPRSNEGDECL
hanımlarımdan	hanımNABLPLPSS1S
vurgulardan	vurguNABLPL
kebaplarında	kebapNLOCPLPSS3P
sürünü	sürüNACCSGPSS2S
ölçülmüyorduk	ölçülmekVIND1PLPSTPROGNEGDECL
şapkacınızı	şapkacıNACCSGPSS2P
sütlü kahveydim	sütlü kahveNLGSPEC11SSGPST
başvurunuzda	başvuruNLOCSGPSS2P
Belgratlısını	BelgratlıNACCSGPSS3S
ilköğretimimize	ilköğretimNDATSGPSS1P
dirim bilimcilermişsin	dirim bilimciNLGSPEC12SPLLGSPEC2
yeşime	yeşimNDATSG
fındık kırmadın	fındık kırmakVIND2SGPSTNEGDECL
betik	betikNNOMSG
savunuyorduk	savunmakVIND1PLPSTPROGPOSDECL
okursun	okumakVIND2SGPRSPOSDECL
ibnelerin	ibneNGENPL
karın	karNGENSG
papağanına	papağanNDATSGPSS3S
dağıttılar mı?	dağıtmakVIND3PLPSTPOSINTR
kerevizlerinde	kerevizNLOCSGPSS3P
ısırıyordum	ısırmakVIND1SGPSTPROGPOSDECL
masumiyetlerinde	masumiyetNLOCPLPSS3S
beneğinin	binekNGENSGPSS3S
pişti	pişmekVIND3SGPSTPOSDECL
başkentleri	başkentNNOMPLPSS3P
mistiklerimizden	mistikNABLPLPSS1P
kötüleştirmiyordun	kötüleştirmekVIND2SGPSTPROGNEGDECL
birincil sürümleri	birincil sürümNNOMPLPSS3P
işçilerimde	işçiNLOCPLPSS1S
fallarınızın	falNGENPLPSS2P
ışıklarında	ışıkNLOCSGPSS3P
onguncuların	onguncuNNOMPLPSS2S
olumlulukları	olumlulukNACCPL
yapışmıyordun	yapışmakVIND2SGPSTPROGNEGDECL
katım	katNNOMSGPSS1S
kırtasiyelermişiz	kırtasiyeNLGSPEC11PPLLGSPEC2
kameranın	kameraNGENSG
helak olmazlar mı?	helak olmakVIND3PLPRSNEGINTR
birincil sürümünün	birincil sürümNGENSGPSS3S
iribaşın	iribaşNGENSG
bitirmeyiz	bitirmekVIND1PLPRSNEGDECL
dedilkodu yapıyor	dedikodu yapmakVIND3SGPRSPROGPOSDECL
utanacaksınız	utanmakVIND2PLFUTPOSDECL
ağlaşayacağım	ağlaşmakVIND1SGFUTPOSDECL
yedirdi	yedirmekVIND3SGPSTPOSDECL
minberinin	minberNGENSGPSS3S
kestirmemiz	kestirmeNNOMSGPSS1P
coşkuluymuşsun	coşkuluADJLGSPEC1LGSPEC22SGPOSDECL
tercihtiniz	tercihNLGSPEC12PSGPST
birleştirtiyor muyduk?	birleştirtmekVIND1PLPSTPROGPOSINTR
jelatinlerinde	jelatinNLOCPLPSS3S
ejderhalarımızı	ejderhaNACCPLPSS1P
biplerinde	bipNLOCPLPSS2S
âşıklardı	âşıkNLGSPEC13PPLPST
garsonumuzda	garsonNLOCSGPSS1P
dürtmediler	dürtmekVIND3PLPSTNEGDECL
göçmedik	göçmekVIND1PLPSTNEGDECL
kompleks sayılarınızdan	kompleks sayıNABLPLPSS2P
etlerimden	etNABLPLPSS1S
kararlarımızdan	kararNABLPLPSS1P
eksi sayılarımızı	eksi sayıNACCPLPSS1P
ayılarına	ayıNDATPLPSS2S
ziyaretçiler	ziyaretçiNLGSPEC13PSGPRS
baraj	barajNNOMSG
arzuhalciymişsin	arzuhalciNLGSPEC12SSGLGSPEC2
bakımsız değil mi?	bakımsızADJLGSPEC1PRS3SGNEGINTR
damlıyor muydun?	damlamakVIND2SGPSTPROGPOSINTR
ortaymışım	ortaNLGSPEC11SSGLGSPEC2
gerektik mi?	gerekmekVIND1PLPSTPOSINTR
dirimlerde	dirimNLOCPL
monarşileri	monarşiNACCPL
oynatıcımızdan	oynatıcıNABLSGPSS1P
artı sayıdan	artı sayıNABLSG
conconlar	conconNNOMPL
büyümedin mi?	büyümekVIND2SGPSTNEGINTR
robottan	robotNABLSG
buldu	bulmakVIND3SGPSTPOSDECL
fındığınızı	fındıkNACCSGPSS2P
güvenleri	güvenNACCPL
domateslerinin	domatesNGENSGPSS3P
bağımlılıklarına	bağımlılıkNDATSGPSS3P
parçacık hızlandırıcılarının	parçacık hızlandırıcıNGENSGPSS3P
korsanlardık	korsanNLGSPEC11PPLPST
mandalinalardan	mandalinaNABLPL
ettirmiyor musun?	ettirmekVIND2SGPRSPROGNEGINTR
sümürmeyeceğiz	sümürmekVIND1PLFUTNEGDECL
çıngırağı çekerler mi?	çıngırağı çekmekVIND3PLPRSPOSINTR
medreselerinin	medreseNGENPLPSS2S
yakşı mıydık?	yakşıADJLGSPEC1PST1PLPOSINTR
yenici deyimlerimin	yenici deyimNGENPLPSS1S
dizelerine	dizeNDATPLPSS3P
zırtgelimi	zırtgelNACCSGPSS1S
onurumu	onurNACCSGPSS1S
tutmuyordunuz	tutmakVIND2PLPSTPROGNEGDECL
dövmez	dövmekVIND3SGPRSNEGDECL
ağaç	ağaçNNOMSG
tercihleriz	tercihNLGSPEC11PPLPRS
polenlerimiz	polenNNOMPLPSS1P
lala	lalaNNOMSG
sürüdüler	sürümekVIND3PLPSTPOSDECL
şafaklarından	şafakNABLPLPSS2S
sarhoşluk	sarhoşlukNNOMSG
ekseninden	eksenNABLSGPSS3S
paskalyalarınız	paskalyaNNOMPLPSS2P
salatalardınız	salataNLGSPEC12PPLPST
vapurumuz	vapurNNOMSGPSS1P
modalarımızda	modaNLOCPLPSS1P
yağmurları	yağmurNNOMPLPSS3P
şortunu	şortNACCSGPSS3S
ketçapları	ketçapNNOMPLPSS3S
kebabımı	kebapNACCSGPSS1S
kompleks sayınız	kompleks sayıNNOMSGPSS2P
kilimlerinde	kilimNLOCPLPSS2S
listemize	listeNDATSGPSS1P
bilişsel psikolojiye	bilişsel psikolojiNDATSG
ölçtürtüyor mu?	ölçtürtmekVIND3SGPRSPROGPOSINTR
bahçıvanımızın	bahçıvanNGENSGPSS1P
göçmüşsünüz	göçNLGSPEC12PSGLGSPEC2
vedanızda	vedaNLOCSGPSS2P
verilmeyeceğiz	verilmekVIND1PLFUTNEGDECL
heteroseksüellerimizde	heteroseksüelNLOCPLPSS1P
plağında	plakNLOCSGPSS2S
vurmuyor	vurmakVIND3SGPRSPROGNEGDECL
öldürtülüyor muydu?	öldürtülmekVIND3SGPSTPROGPOSINTR
çorbalarınıza	çorbaNDATPLPSS2P
yabancılarını	yabancıNACCPLPSS3P
ekşitiriz	ekşitmekVIND1PLPRSPOSDECL
lezzetlerine	lezzetNDATPLPSS3P
ölçülmüyor muyuz?	ölçülmekVIND1PLPRSPROGNEGINTR
elipslerimizin	elipsNGENPLPSS1P
sumaklarınızı	sumakNACCPLPSS2P
hüzünüme	hüzünNDATSGPSS1S
ermedi	ermekVIND3SGPSTNEGDECL
çadırlarımızı	çadırNACCPLPSS1P
çatallarına	çatalNDATSGPSS3P
ünsüz harfi	ünsüz harfNACCSG
izleyicilerinizi	izleyiciNACCPLPSS2P
arpalarımızın	arpaNGENPLPSS1P
tecrübesinden	tecrübeNABLSGPSS3S
türevlerinin	türevNGENPLPSS2S
model-view-presenteriniz	model-view-presenterNNOMSGPSS2P
dermiyorduk	dermekVIND1PLPSTPROGNEGDECL
eşcinsellerine	eşcinselNDATPLPSS3P
alevler	alevNLGSPEC13PSGPRS
kalacak mıyız?	kalmakVIND1PLFUTPOSINTR
sözcüklerini	sözcükNACCPLPSS3P
karıştırtıyordum	karıştırtmakVIND1SGPSTPROGPOSDECL
gamalı haçlarımız	gamalı haçNNOMPLPSS1P
iyileştiriyorsunuz	iyileştirmekVIND2PLPRSPROGPOSDECL
kıçlarını	kıçNACCSGPSS3P
içliklerinden	içlikNABLPLPSS2S
efende	efeNLOCSGPSS2S
yarmıyordu	yarmakVIND3SGPSTPROGNEGDECL
bitkiydiniz	bitkiNLGSPEC12PSGPST
fenerlerden	fenerNABLPL
senaryoları	senaryoNNOMSGPSS3P
ejderhamızda	ejderhaNLOCSGPSS1P
eteğimizin	etekNGENSGPSS1P
mermilerimizi	mermiNACCPLPSS1P
derneklerimizde	dernekNLOCPLPSS1P
daldırtıyordun	daldırtmakVIND2SGPSTPROGPOSDECL
takılarınızı	takıNACCPLPSS2P
yedirtmiyor muyum?	yedirtmekVIND1SGPRSPROGNEGINTR
banliyö	banliyöNNOMSG
yaklaşmazsın	yaklaşmakVIND2SGPRSNEGDECL
hahamları	hahamNACCPL
cevap vermediniz	cevap vermekVIND2PLPSTNEGDECL
ayılarında	ayıNLOCPLPSS3P
temizlemeyeceksin	temizlemekVIND2SGFUTNEGDECL
alındırmayacaksınız	alındırmakVIND2PLFUTNEGDECL
canlanmamayacağım	canlanmamakVIND1SGFUTNEGDECL
konserimize	konserNDATSGPSS1P
getirmiyor muydu?	getirmekVIND3SGPSTPROGNEGINTR
heyecanlandınız mı?	heyecanlanmakVIND2PLPSTPOSINTR
fortlamıyordunuz	fortlamakVIND2PLPSTPROGNEGDECL
kovalara	kovaNDATPL
sayfaları	sayfaNNOMSGPSS3P
kompleks sayılarında	kompleks sayıNLOCSGPSS3P
ehemmiyetliliklerimizi	ehemmiyetlilikNACCPLPSS1P
yazmıyor mu?	yazmakVIND3SGPRSPROGNEGINTR
otomobilcilermişim	otomobilciNLGSPEC11SPLLGSPEC2
asteroidimizi	asteroitNACCSGPSS1P
içbükey açıların	içbükey açıNGENPL
doğum gününden	doğum günüNABLSG
cemaatimize	cemaatNDATSGPSS1P
kümesinin	kümesNGENSGPSS2S
ortaydı	ortaNLGSPEC13SSGPST
türeyeceğiz	türemekVIND1PLFUTPOSDECL
otomobilciliklerim	otomobilcilikNNOMPLPSS1S
kumalarınız	kumaNNOMPLPSS2P
izlencelerine	izlenceNDATPLPSS3S
yolunmuyor muydun?	yolunmakVIND2SGPSTPROGNEGINTR
peskütanınız	peskütanNNOMSGPSS2P
tercihimize	tercihNDATSGPSS1P
yayımcılıklarından	yayımcılıkNABLSGPSS3P
final sınıfınızı	final sınıfNACCSGPSS2P
barışmıyor	barışmakVIND3SGPRSPROGNEGDECL
minber	minberNNOMSG
pozisyonları	pozisyonNACCPL
eksenlerinden	eksenNABLPLPSS2S
koşulmuyordu	koşulmakVIND3SGPSTPROGNEGDECL
sağrının	sağrıNGENSGPSS2S
kışkırtacaksın	kışkırtmakVIND2SGFUTPOSDECL
derilerini	deriNACCPLPSS2S
buzukilerinizin	buzukiNGENPLPSS2P
veri tabanını	veri tabanıNACCSG
kusmalarına	kusmaNDATPLPSS3S
askerlerine	askerNDATPLPSS2S
becerikli değiller mi?	becerikliADJLGSPEC1PRS3PLNEGINTR
türünüzde	türüNLOCSGPSS2P
şuurlarınızı	şuurNACCPLPSS2P
önemsizliğimizin	önemsizlikNGENSGPSS1P
zibidileri	zibidiNNOMPLPSS3S
keşkeklere	keşkekNDATPL
kuyruklu yıldızlarınızın	kuyruklu yıldızNGENPLPSS2P
sikişiyordum	sikişmekVIND1SGPSTPROGPOSDECL
dizemlerimin	dizemNGENPLPSS1S
çarmıha geriyorduk	çarmıha germekVIND1PLPSTPROGPOSDECL
sindik mi?	sinmekVIND1PLPSTPOSINTR
küpenizi	küpeNACCSGPSS2P
uyarmadık	uyarmakVIND1PLPSTNEGDECL
tabansızlarımın	tabansızNGENPLPSS1S
kimyasal tepkimelerini	kimyasal tepkimeNACCSGPSS3P
ulumadı mı?	ulumakVIND3SGPSTNEGINTR
kaşesinin	kaşeNGENSGPSS3S
tiyatrosunuz	tiyatroNLGSPEC12PSGPRS
yastıklarınızda	yastıkNLOCPLPSS2P
barışı	barışNNOMSGPSS3S
dişlinden	dişliNABLSGPSS2S
Kopenhaglılarında	KopenhaglıNLOCPLPSS2S
aşık oluyor musun?	aşık olmakVIND2SGPRSPROGPOSINTR
yutaklarına	yutakNDATSGPSS3P
dış ağlarım	dış ağNNOMPLPSS1S
mutlu sonunun	mutlu sonNGENSGPSS2S
aldırmayacak mı?	aldırmakVIND3SGFUTNEGINTR
garsonundan	garsonNABLSGPSS2S
sayfalarınıza	sayfaNDATPLPSS2P
kuşlarının	kuşNGENSGPSS3P
dövmelerim	dövmeNNOMPLPSS1S
röntgeninde	röntgenNLOCSGPSS3S
heykelciğine	heykelcikNDATSGPSS3S
maydanozlarımızdan	maydanozNABLPLPSS1P
sinagoglar	sinagogNNOMPL
malından	malNABLSGPSS2S
vurgulardı	vurguNLGSPEC13SPLPST
çekmecelerimizde	çekmeceNLOCPLPSS1P
nenelerinize	neneNDATPLPSS2P
sağduyunuzda	sağduyuNLOCSGPSS2P
molekülden	molekülNABLSG
özel değilsin	özelADJLGSPEC1PRS2SGNEGDECL
yolumuzdan	yolNABLSGPSS1P
aşiretlerimizde	aşiretNLOCPLPSS1P
kapatmayacaklar mı?	kapatmakVIND3PLFUTNEGINTR
omuzlarımızın	omuzNGENPLPSS1P
ateşe verdiler	ateşe vermekVIND3PLPSTPOSDECL
ilişkisel modellerinin	ilişkisel modelNGENPLPSS2S
yatağınız	yatakNNOMSGPSS2P
yan cümlelerimde	yan cümleNLOCPLPSS1S
maratoncudan	maratoncuNABLSG
elledim	ellemekVIND1SGPSTPOSDECL
öğütüyor muyuz?	öğütmekVIND1PLPRSPROGPOSINTR
ombudsmanlarınızdan	ombudsmanNABLPLPSS2P
şirketinde	şirketNLOCSGPSS3S
uğratılmıyordun	uğratılmakVIND2SGPSTPROGNEGDECL
radyoaktif bozunumuna	radyoaktif bozunumNDATSGPSS2S
arınmadı	arınmakVIND3SGPSTNEGDECL
patladık mı?	patlamakVIND1PLPSTPOSINTR
damlamadınız mı?	damlamakVIND2PLPSTNEGINTR
ılımıyor mu?	ılımakVIND3SGPRSPROGNEGINTR
abajurcusunda	abajurcuNLOCSGPSS3S
dondurmayacak	dondurmakVIND3SGFUTNEGDECL
mandalını	mandalNACCSGPSS2S
ölçtürtür müsünüz?	ölçtürtmekVIND2PLPRSPOSINTR
sönmüyorsunuz	sönmekVIND2PLPRSPROGNEGDECL
kedini	kediNACCSGPSS2S
asansörlere	asansörNDATPL
lordlardan	lordNABLPL
saydırmıyorlar mı?	saydırmakVIND3PLPRSPROGNEGINTR
şahında	şahNLOCSGPSS3S
kürkelerine	kürkeNDATPLPSS3S
süslerine	süsNDATPLPSS2S
yüzmesini	yüzmeNACCSGPSS3S
dirim bilimciymişsiniz	dirim bilimciNLGSPEC12PSGLGSPEC2
granülsüz endoplazmik retikulumunuzu	granülsüz endoplazmik retikulumNACCSGPSS2P
kümelerini	kümeNACCPLPSS3S
ayvazlarınızdan	ayvazNABLPLPSS2P
marullarınızın	marulNGENPLPSS2P
bozaları	bozaNNOMPLPSS3S
malmış	malNLGSPEC13SSGLGSPEC2
frizbilere	frizbiNDATPL
vahaydılar	vahaNLGSPEC13PSGPST
yoğurmuyor musun?	yoğurmakVIND2SGPRSPROGNEGINTR
arınır mıyım?	arınmakVIND1SGPRSPOSINTR
tattan	tatNABLSG
yağmalara	yağmaNDATPL
kumalarsınız	kumaNLGSPEC12PPLPRS
evciklerini	evcikNACCSGPSS3P
şırıngayı	şırıngaNACCSG
verniklemelerini	verniklemeNACCPLPSS3S
çekirdeğimden	çekirdekNABLSGPSS1S
İngilizceleştirmiyor muyum?	İngilizceleştirmekVIND1SGPRSPROGNEGINTR
takılarınızdan	takıNABLPLPSS2P
kameramda	kameraNLOCSGPSS1S
dağılmıyor musun?	dağılmakVIND2SGPRSPROGNEGINTR
amcalardı	amcaNLGSPEC13PPLPST
gerekiyor muydunuz?	gerekmekVIND2PLPSTPROGPOSINTR
Aşkabatlılarımızdan	AşkabatlıNABLPLPSS1P
davranışlarına	davranışNDATSGPSS3P
kızlıklarının	kızlıkNGENPLPSS3P
iskenderlerine	iskenderNDATPLPSS2S
sarımsaklarınızı	sarımsakNACCPLPSS2P
anahtarlığının	anahtarlıkNGENSGPSS2S
çıkarmadı mı?	çıkarmakVIND3SGPSTNEGINTR
gözleriz	gözlemekVIND1PLPRSPOSDECL
sonbaharlardan	sonbaharNABLPL
dedikoducusundan	dedikoducuNABLSGPSS3S
karmaşık sayılarımızda	karmaşık sayıNLOCPLPSS1P
belirteçlerden	belirteçNABLPL
müezzinlerimizde	müezzinNLOCPLPSS1P
modanızın	modaNGENSGPSS2P
sıvılaştırıyor mu?	sıvılaştırmakVIND3SGPRSPROGPOSINTR
milyonerinde	milyonerNLOCSGPSS2S
temsilciyim	temsilciNLGSPEC11SSGPRS
karakterlerdin	karakterNLGSPEC12SPLPST
bulunma halini	bulunma haliNACCSG
sahibiniz	sahipNNOMSGPSS2P
üvey oğullardan	üvey oğulNABLPL
âşık olmayacak mı?	âşık olmakVIND3SGFUTNEGINTR
cinsel yönelimlerini	cinsel yönelimNACCPLPSS2S
ekstremumlarının	ekstremumNGENPLPSS3P
sıvılaştırıyorlar mıydı?	sıvılaştırmakVIND3PLPSTPROGPOSINTR
çekirdeklerimizin	çekirdekNGENPLPSS1P
yasalarınız	yasaNNOMPLPSS2P
keselerinizden	keseNABLPLPSS2P
keşinden	keşNABLSGPSS2S
süzerler	süzmekVIND3PLPRSPOSDECL
büktürmüyor muydu?	büktürmekVIND3SGPSTPROGNEGINTR
saksocunuz	saksocuNNOMSGPSS2P
kanatı	kanatNACCSG
heyecanlandık mı?	heyecanlanmakVIND1PLPSTPOSINTR
baykuşumdan	baykuşNABLSGPSS1S
papağanlarımızdan	papağanNABLPLPSS1P
sürttün mü?	sürtmekVIND2SGPSTPOSINTR
yaban çileğini	yaban çileğiNACCSG
takının	takıNGENSG
dinletilerimin	dinletiNGENPLPSS1S
yoğuracaklar	yoğurmakVIND3PLFUTPOSDECL
tecritlerinden	tecritNABLPLPSS3S
konveks dörtgenlere	konveks dörtgenNDATPL
girdaplar	girdapNLGSPEC13SPLPRS
akşamları	akşamNNOMSGPSS3P
şamandıradan	şamandıraNABLSG
yerküre bilimcilerdim	yerküre bilimciNLGSPEC11SPLPST
sabanlarımızın	sabanNGENPLPSS1P
avokadona	avokadoNDATSGPSS2S
çeviriminizi	çevirimNACCSGPSS2P
arıyor musunuz?	aramakVIND2PLPRSPROGPOSINTR
okiyalarsın	okiyaNLGSPEC12SPLPRS
sistemlerine	sistemNDATPLPSS3P
çığınızı	çığNACCSGPSS2P
önceler	önceNNOMPL
sıyırmayacak	sıyırmakVIND3SGFUTNEGDECL
rüyanın	rüyaNGENSG
gizliyorsunuz	gizlemekVIND2PLPRSPROGPOSDECL
uyardım	uyarmakVIND1SGPSTPOSDECL
günlüklerinin	günlükNGENPLPSS3S
